pixel	buffer	index	t	min	size	color
640,360	/root/StreetIdShot/OrisonRoot/F01/@MultiMeshInstance3D@22782	128	3.6945	20.420,0.000,23.894	0.360,2.400,4.422	0.200,0.145,0.075
700,400	/root/StreetIdShot/OrisonRoot/F01/@MultiMeshInstance3D@22782	128	3.4947	20.420,0.000,23.894	0.360,2.400,4.422	0.200,0.145,0.075
