seconds,multiplier,range_m,mean_luma
0.0,0.58,7.48000001907349,0.08937288072718
0.25,0.58,7.48000001907349,0.08931887065414
0.5,0.58,7.48000001907349,0.08933603432158
0.75,0.58,7.48000001907349,0.08935534260336
1.0,0.6013937486631,7.5319561958313,0.09696793271838
1.25,0.60019900625261,7.52905464172363,0.09704241120548
1.5,0.60021831565866,7.52910184860229,0.0970720558107
1.75,0.60261094864973,7.534912109375,0.09858693731796
2.0,0.60748911624114,7.54675912857056,0.10034322278938
2.25,0.61466556674571,7.56418800354004,0.10371521367565
2.5,0.62395661891936,7.58675193786621,0.10742110563879
2.75,0.63518133463925,7.61401176452637,0.11300309519247
3.0,0.64816081537425,7.64553356170654,0.11888729744238
3.25,0.66271758760193,7.68088579177856,0.12704574683069
3.5,0.67867505065906,7.71963930130005,0.13542114590972
3.75,0.69585696593035,7.76136684417725,0.14403878485396
4.0,0.71408696965068,7.80563974380493,0.15452850222628
4.25,0.73318809341829,7.85202836990356,0.16518227488683
4.5,0.75298227703816,7.9000997543335,0.17583980519821
4.75,0.77328985758561,7.94941806793213,0.18641066954184
5.0,0.79392901646036,7.99954175949097,0.19717956088
5.25,0.81471516231536,8.05002212524414,0.21033844838892
5.5,0.8354602213767,8.10040378570557,0.22162125237791
5.75,0.85597179653791,8.15021705627441,0.23366499779446
6.0,0.8760521404209,8.19898414611816,0.24591897285623
6.25,0.89549686112968,8.24620628356934,0.25765941920299
6.5,0.91409323457462,8.29136943817139,0.26773091043481
6.75,0.93161791750245,8.33392906188965,0.27591509162294
7.0,0.94783370455318,8.37331008911133,0.28032596081482
7.25,0.9624846638862,8.40889167785645,0.28342432704972
7.5,0.97528828389011,8.43998622894287,0.28680049669828
7.75,0.98592141754342,8.4658088684082,0.28836924533152
8.0,0.9939907606814,8.48540592193604,0.28970181744053
8.25,0.99894892704733,8.49744701385498,0.29099591863969
8.5,0.9997737512436,8.49945068359375,0.2909555523677
8.75,0.99787232891618,8.49483299255371,0.29046209379041
9.0,0.99446450579974,8.48655700683594,0.29045394703599
9.25,0.98978487438559,8.47519207000732,0.28914138444728
9.5,0.98398591167404,8.46110820770264,0.28844280602492
9.75,0.97718613378955,8.44459533691406,0.2869078128392
10.0,0.96948521264736,8.42589282989502,0.28548046400559
10.25,0.96097079448101,8.4052152633667,0.28364752289889
10.5,0.95172217335911,8.3827543258667,0.28174716467233
10.75,0.9418125017235,8.35868740081787,0.27814653253491
11.0,0.93131022653905,8.3331823348999,0.27397082678672
11.25,0.92028007677952,8.30639457702637,0.27081105919526
11.5,0.90878377289812,8.27847480773926,0.26517426553053
