seed,light_on_s,light_off_s,extinguished_after_acquisition_s,buy_s
7,3.608,11.308,11.175,7.567
19,3.350,11.525,11.375,8.025
43,3.358,11.250,11.100,7.742
71,3.750,11.358,11.225,7.475
101,3.833,11.375,11.242,7.408
131,3.400,11.175,11.033,7.633
163,3.717,11.333,11.200,7.483
199,3.667,11.442,11.300,7.633
251,3.417,11.542,11.392,7.975
307,3.425,11.400,11.250,7.825
379,3.358,11.217,11.075,7.717
median,3.425,11.358,11.225,7.800
shortening_percent,69.846
